
(00:00:01) GetEverflowAffiliateVisibility.php:3 || Start
(00:00:01) GoogleAPI.php:2 || Google API Start
(00:00:01) SendGridDeadList.php:2 || Sendgrid Dead List Start
(00:00:02) stats.php:34 || Project: PTR <----MAIN PROJECT START
(00:00:02) stats.php:21 || Project: 376dc9706e95434ab3a320853931b394|DGA <----MAIN PROJECT START
(00:00:04) GoogleAPI.php:193 || Google API End
(00:00:13) GetEverflowAffiliateVisibility.php:86 || Before Loop
(00:00:13) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1
(00:00:17) GetEverflowAffiliates.php:176 || Affiliates End
(00:00:18) stats.php:86 || Combined Response Data Starts Here for PTR 
(00:00:18) stats.php:95 || Total Count: 1262
(00:00:20) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1004
(00:00:25) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1006
(00:00:26) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1012
(00:00:30) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1018
(00:00:32) GetEverflowAffiliateVisibility.php:92 || AffiliateID: 1022
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
(00:00:33) stats.php:276 || Result: yes
(00:00:33) stats.php:277 || AFTER SQL IMPORT
(00:00:33) stats.php:145 || Project: 376dc9706e95434ab3a320853931b394
